"family","genus","species","binomial","type"
"Nymphalidae","Acraea","obeira","Acraea_obeira",0
"Nymphalidae","Symbrenthia","lilaea","Symbrenthia_lilaea",1
"Nymphalidae","Cissia","confusa","Cissia_confusa",0
"Nymphalidae","Capronnieria","galesus","Capronnieria_galesus",1
"Nymphalidae","Taygetis","ypthima","Taygetis_ypthima",1
"Nymphalidae","Taygetis","virgilia","Taygetis_virgilia",1
"Nymphalidae","Hermeuptychia","hermes","Hermeuptychia_hermes",1
"Nymphalidae","Hermeuptychia","sosybius","Hermeuptychia_sosybius",1
"Nymphalidae","Godartiana","muscosa","Godartiana_muscosa",1
"Nymphalidae","Cissia","penelope","Cissia_penelope",1
